text,class
connard,1
je m’en fou,1
je m’en fous,1
t’as intérêt ne pas m’énervé,1
je m’en fiche,1
emmerdeur,1
mange de la merde,1
je veux faire l’amour avec toi,1
papier q,1
ça me fait chier,1
ducon,1
t’es rien qu’un petit connard,1
putain de merde,1
s’en foutre,1
va te faire enculer,1
tu es con,1
je me fais chier,1
"meurs, pute",1
batard,1
pétasse,1
dégage,1
tu fais chier,1
enfoiré,1
ma couille,1
chiante,1
nom de dieu,1
ta race,1
mes couilles en toi,1
une casse-couille,1
rien à branler,1
ça fait shier,1
pq,1
chatte,1
baise moi mor,1
couille,1
c’est pas con,1
crève la gueule ouverte,1
j’ai baisé ta mère,1
sale,1
branleur,1
couillon,1
bachie coupe,1
baise,1
enfoirée,1
va te faire foutre,1
allez,1
je t’emmerde,1
enculée,1
"oh, merde",1
c’est vraiment de ta faute,1
ça craint,1
dégueu,1
s’en branler,1
cul,1
va t’en,1
couilles,1
casse-toi,1
niquer,1
pédé,1
idiote,1
putain,1
j’ai envie de chier,1
t’es un salaud,1
foutre le bordel,1
vous sentez comme le boeuf et le fromage,1
gross cul,1
chiant,1
quel salaud,1
je me suis fait baiser,1
imbécile,1
film de cul,1
s’en foutre de,1
crève la gueule ouverte!,1
fais chier,1
rien à foutre,1
sac vin,1
petit tabernac,1
tu me gonfles,1
pédale,1
avale mes couilles,1
un casse-couille,1
con,1
c’est con,1
du pq,1
face de cul,1
branleur de chiens morts,1
ta mere suce des bites en enfer,1
merdasse,1
se taire,1
salope,1
vas faire foutre a la vache,1
emmerdeuse,1
prendre pour une conne,1
sac merde,1
c’est quoi ce bordel,1
à chier,1
enculer les mouches,1
rien à foutre de,1
trou du cul,1
salaud,1
bite,1
merde embulante,1
ta gueule,1
ça pue,1
j’en ai ral le bol,1
t’as pas de couilles,1
mange ma bite,1
sa race,1
ta mere la pute,1
tu commence m’enmerder,1
idiot,1
petite pute,1
tu et un ane,1
frambler,1
je me fais chier,1
emmerder,1
vous vissez,1
bordel,1
oh putain de merde,1
se foutre dans la merde,1
connasse,1
note from benjamin,1
conneries,1
foutre,1
laisse-moi tranquille,1
baiser,1
je te nique ta race sale fils de chien,1
putain de,1
branler,1
aller se faire foutre,1
foutre la merde,1
j’en ai plus rien à foutre,1
je m’en bats les couilles,1
ce mécanicien m’a bien baisé,1
garce,1
casser les couilles,1
zut,1
dégénéré,1
bordel de merde,1
enculer une mouche,1
brûle en enfer,1
de merde,1
abruti,1
ça schlingue,1
couillonne,1
vous êtes stupide,1
dégueulasse,1
framble,1
tais-toi,1
trouduc,1
nique ta mère,1
ferme ta gueule,1
conne,1
enculé,1
partir en couille,1
crétin,1
chier,1
baise toi,1
pute,1
j’en ai ral le cul,1
merde,1
putain t’es moche,1
connerie,1
prendre pour un con,1
debile,1
ne rien foutre,1
t’es débile,1
rien à branler,1
la vache,1
je pis dans ta bouche,1
qu’est-ce que tu branles,1
putain de bordel de merde,1
se casser,1
je m’en fous pas mal,1
fils de pute,1
faire chier,1
enculer,1
il est stupide,1
branler – to jerk off,1
j’en ai marre,1
